구별,총계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV_비율,오차
종로구,1772,16.57894736842105,153789,144683,9106,27818,5.921099688534291,18.088419847973523,1.152228052721586,330.8481298447514
용산구,2383,63.331048663468124,237285,222953,14332,39070,6.039994099922034,16.465431864635356,1.004277556524854,61.98544008815952
성동구,3602,28.505173028897612,292672,285990,6682,46380,2.2831019024710257,15.84709162475399,1.2307292805598076,930.0580685535524
광진구,2588,55.06291192330737,352627,339996,12631,51723,3.58197188530657,14.667906881775927,0.7339199777668756,329.6164839476869
동대문구,2497,24.725274725274726,352006,337400,14606,62211,4.149361090435959,17.673278296392674,0.7093629085867854,418.0718438492254
중랑구,3296,152.76073619631902,391885,387350,4535,71682,1.15722724778953,18.291590645214796,0.8410630669711778,217.51800721912696
성북구,3958,41.10516934046346,440142,430528,9614,74709,2.18429506840974,16.973840260643154,0.8992552403542494,681.7777540283619
강북구,2462,194.8502994011976,302563,299182,3381,64333,1.117453224617683,21.262679177559715,0.8137148296387859,250.4717788118005
도봉구,1629,74.78540772532189,319373,317366,2007,64160,0.6284188081021251,20.089362594834252,0.5100619025402899,1152.3532603820759
노원구,2415,50.467289719626166,514946,510956,3990,88345,0.7748385267581456,17.156167831190068,0.4689812135641407,1167.742790134806
은평구,3791,63.758099352051836,477173,473307,3866,87241,0.8101883384013764,18.282886919419163,0.7944707684634295,363.0377097672763
서대문구,2940,33.69713506139154,315659,304819,10840,54268,3.434085516332498,17.191969815528783,0.93138481716029,173.8654084193522
마포구,2421,50.65339141257,378686,368905,9781,54582,2.5828786910527457,14.413524661592984,0.6393159504180245,603.3971221535048
양천구,3312,22.07887946922226,450487,447302,3185,68627,0.7070126329949588,15.233957916654642,0.7352043455194046,6.612426033773772
강서구,2560,57.635467980295566,579768,574315,5453,92558,0.9405486332464021,15.964661726759669,0.44155593271791477,1288.360600863442
구로구,4075,26.317420954742715,421163,396754,24409,72611,5.7956183235469405,17.24059330947875,0.9675588786289393,876.5470365222495
금천구,2374,59.543010752688176,244891,230811,14080,41041,5.749496714864981,16.75888456496972,0.969410880759195,102.15215923292499
영등포구,3778,51.42284569138277,400908,376837,24071,62516,6.004120646133278,15.593602522274436,0.9423608408911771,662.5449192828637
동작구,2297,48.67313915857605,394364,385483,8881,66613,2.2519804038908218,16.8912476798085,0.5824568165451208,791.6400649291604
관악구,4942,25.527051054102106,499449,485699,13750,79871,2.7530338432953116,15.991822988933805,0.9894904184411222,1422.7584781516043
서초구,3704,26.719124187478617,416167,412279,3888,60678,0.9342403410169475,14.580204581333936,0.890027320763059,526.0188914850751
강남구,6502,36.310272536687634,537800,533042,4758,78226,0.8847155076236519,14.545555968761622,1.2089996281145408,2825.60953706287
송파구,2854,96.82758620689656,663965,658338,5627,97691,0.8474844306552303,14.713275549162983,0.42984193443931534,1339.3703631342596
강동구,2547,61.50919467343057,466472,462664,3808,74070,0.8163405306213449,15.878766571198272,0.5460134799087619,837.1133470867685
